student_id,name,gender,date_of_birth,grade,email,phone_number,address,school_name,math,english,science,history,computer,total_marks,average_marks
S00050,Michael Miller,Male,2008-01-04,12,jessica61@example.com,(277)762-0423,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,78,54,45,58,47,282,56.4
S00051,Bryan Robinson,Male,2010-07-13,9,mooretanya@example.net,001-902-496-6313x23905,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,89,100,97,74,72,432,86.4
S00052,Peggy Lopez,Female,2017-11-16,7,vmendez@example.com,619.503.8669x992,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,59,73,57,61,60,310,62.0
S00053,Kim Barker,Female,2014-07-13,8,qphillips@example.net,671-677-1908,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,56,52,80,64,88,340,68.0
S00054,Brian Hanna,Male,2009-05-16,3,breeves@example.com,860.458.1049,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,75,64,68,53,68,328,65.6
S00055,Jonathan Kim,Male,2010-05-13,10,steven21@example.org,414-295-5429,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,92,80,82,61,100,415,83.0
S00056,Curtis Wang,Male,2015-03-07,5,michael35@example.com,789-299-8666,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,75,100,97,64,95,431,86.2
S00057,Kathryn Cohen,Female,2009-02-16,11,granttheresa@example.net,565.245.6634,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,65,94,65,40,56,320,64.0
S00058,Amanda Butler,Female,2019-02-07,5,fkelly@example.com,265-328-5924,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,57,75,55,77,85,349,69.8
S00059,Richard Foster,Male,2007-06-25,5,murrayjames@example.com,(649)542-0195,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,68,47,49,58,50,272,54.4
S00060,Tyler Jones,Male,2014-08-28,7,huynheric@example.org,(901)839-6523x40447,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,82,70,76,79,86,393,78.6
S00061,Angela Bell,Female,2008-11-01,10,ostewart@example.net,+1-400-346-3001x429,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,67,98,98,47,52,362,72.4
S00062,Jessica Cohen,Female,2010-06-03,7,ronald09@example.org,(602)311-0471x02743,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,44,66,53,80,86,329,65.8
S00063,Dennis Ruiz,Male,2017-05-28,5,sochoa@example.net,001-405-708-7208x69543,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,90,59,53,65,45,312,62.4
S00064,Justin Porter,Male,2006-07-01,12,ronald10@example.com,001-351-429-4926,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,50,95,68,94,65,372,74.4
S00065,Michael Graves,Male,2015-02-18,3,david45@example.com,(818)330-3942x92234,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,52,43,77,83,95,350,70.0
S00066,Michelle Powers,Female,2008-10-15,5,anthony01@example.net,432.230.1430x86125,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,68,81,83,78,44,354,70.8
S00067,David Knight,Male,2014-10-05,3,lambertjohn@example.org,+1-537-548-5034x18749,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,66,42,96,55,75,334,66.8
S00068,Katie Oneal,Female,2015-06-21,1,paulbarry@example.net,001-840-991-4422x07195,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,50,85,42,71,77,325,65.0
S00069,Sean Ortiz,Male,2016-11-11,7,dward@example.com,(956)585-3866x3896,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,73,46,43,82,83,327,65.4
S00070,Debra Jimenez,Female,2016-03-03,9,lowewayne@example.org,+1-873-267-7959x640,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,55,45,52,51,79,282,56.4
S00071,Carmen Fields,Female,2014-12-12,8,loganmcgee@example.com,(475)823-8078x330,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,59,84,48,65,44,300,60.0
S00072,Angela Brown MD,Female,2019-06-14,8,tyrone67@example.com,263.328.5438,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,62,60,46,83,88,339,67.8
S00073,Charles Reeves,Male,2012-06-21,4,maureenhudson@example.net,836.325.6177,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,82,98,68,47,55,350,70.0
S00074,Monica Harrington,Female,2017-06-13,7,mmartinez@example.com,-4401,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,83,83,78,78,62,384,76.8
S00075,Joseph Rogers,Male,2009-01-12,9,hamiltonandrew@example.com,+1-409-997-5014x812,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,48,58,92,50,90,338,67.6
S00076,Erik Key,Male,2017-02-14,1,courtney52@example.net,(787)539-6135x50607,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,45,95,83,93,100,416,83.2
S00077,Alison Johnson,Female,2015-12-10,3,annette05@example.com,470-238-7938,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,50,53,53,57,62,275,55.0
S00078,Thomas Bates,Male,2007-07-12,8,larsonnorma@example.org,+1-441-748-0879x29476,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,97,47,82,46,40,312,62.4
S00079,David Howell,Male,2016-12-04,6,christopher85@example.com,(825)802-4868x20763,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,73,54,89,73,75,364,72.8
S00080,Nicole Obrien,Female,2006-11-07,8,jonathanbarrett@example.net,(762)840-9675x889,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,89,73,89,83,86,420,84.0
S00081,Samuel Molina,Male,2015-09-17,6,banksstephanie@example.com,3763715242,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,54,60,97,60,89,360,72.0
S00082,Ashley Morgan,Female,2009-10-13,12,ryan24@example.com,320.317.6323,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,97,43,82,86,50,358,71.6
S00083,Robin Moss,Female,2012-03-15,5,lawrence78@example.net,(913)786-3779x64137,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,98,60,43,78,96,375,75.0
S00084,Roger Baxter,Male,2009-03-23,11,kyle76@example.net,001-606-787-4838x23296,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,93,57,85,65,51,351,70.2
S00085,Deborah Robinson,Female,2014-04-15,2,sharpcaitlin@example.net,(944)309-4357,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,50,83,51,74,67,325,65.0
S00086,Robert Taylor,Male,2018-09-20,9,markmacias@example.org,343.759.6367x0602,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,94,89,58,44,53,338,67.6
S00087,Lori Davis,Female,2009-07-31,6,beth78@example.com,001-495-953-2378x021,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,62,57,99,57,83,358,71.6
S00088,Monica Cobb,Female,2007-07-10,8,walter65@example.net,001-509-618-0692x08654,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,48,94,92,47,44,325,65.0
S00089,Jeffrey Thomas,Male,2007-06-18,5,melissa45@example.org,(384)501-5987,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,59,89,43,83,52,326,65.2
S00090,Jennifer Scott,Female,2019-12-29,3,julie05@example.org,7046382813,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,60,40,61,74,83,318,63.6
S00091,Jeffrey Smith,Male,2012-12-02,4,bharvey@example.net,001-605-563-2057x8676,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,87,84,63,61,92,387,77.4
S00092,Kimberly Mccall,Female,2017-03-17,3,alexander51@example.com,+1-569-368-6891x193,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,90,77,78,94,99,438,87.6
S00093,Jonathan Miranda,Male,2011-06-15,5,timothywoodard@example.net,+1-908-812-7745x76323,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,55,76,59,60,69,319,63.8
S00094,Karina Walker,Female,2013-02-08,2,tammyryan@example.org,+1-577-830-3421x82079,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,82,81,40,87,74,364,72.8
S00095,Raymond Swanson,Male,2009-11-17,10,smithjames@example.com,979-910-1402x6016,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,87,47,43,45,61,283,56.6
S00096,Lisa Kaiser,Female,2008-09-26,6,harpermelvin@example.net,354.818.4395,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,52,49,48,72,64,285,57.0
S00097,Jacob Robinson,Male,2011-07-17,4,walkerjames@example.com,001-212-318-7904x3611,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,93,84,50,68,45,340,68.0
S00098,Matthew Mullins,Male,2015-03-20,6,qharrington@example.net,267.230.7115x124,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,62,50,81,99,79,371,74.2
S00099,Jillian Whitaker,Female,2010-10-09,10,perezpatrick@example.org,(346)298-9862,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,51,62,81,47,67,308,61.6
S00100,Mr. Jack Carson,Male,2008-09-02,12,pgallegos@example.org,-9290,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,93,79,77,89,68,406,81.2
S00101,Kyle Rice,Male,2013-10-30,7,joneschristine@example.net,(663)886-2026x98721,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,95,92,76,84,64,411,82.2
S00102,James Perkins,Male,2016-06-10,12,rodgerskristen@example.org,896-905-3097x4582,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,93,67,45,93,89,387,77.4
S00103,Nancy Hernandez,Female,2015-03-26,8,anthonygonzales@example.net,328-352-9973x999,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,100,43,63,95,77,378,75.6
S00104,Yolanda Hanson,Female,2010-08-13,8,teresabarajas@example.com,001-563-752-2103x4090,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,78,94,90,58,70,390,78.0
S00105,Steven Morgan,Male,2013-09-15,12,dana10@example.org,991.485.7082,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,99,75,70,66,93,403,80.6
S00106,Robert Parker,Male,2011-09-23,10,nlyons@example.com,(548)607-0445,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,89,43,69,49,56,306,61.2
S00107,Deborah Greer,Female,2010-04-14,9,reynoldsjennifer@example.org,374.963.8952x599,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,91,91,55,42,54,333,66.6
S00108,Alexis Ramirez,Female,2006-10-27,11,pgarcia@example.net,602.994.7724x2992,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,74,69,69,95,70,377,75.4
S00109,Pamela Hubbard,Female,2006-09-06,9,john78@example.com,722-311-8424x516,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,68,80,61,84,96,389,77.8
S00110,Matthew Jimenez,Male,2013-10-28,3,barnetterica@example.net,001-443-478-1738x0497,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,82,55,70,53,72,332,66.4
S00111,Frank Bailey,Male,2009-12-23,5,robertole@example.net,417-954-3660,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,47,40,93,97,46,323,64.6
S00112,Alyssa Ellis,Female,2011-02-12,6,ashley71@example.org,703-779-6565x1683,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,70,51,98,77,85,381,76.2
S00113,Shannon Reynolds,Female,2011-12-15,9,montgomeryashley@example.org,2756492878,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,71,99,66,40,67,343,68.6
S00114,Walter Eaton,Male,2006-12-12,7,simsjeremy@example.com,001-555-479-6018x7384,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,52,99,95,83,47,376,75.2
S00115,Taylor Franklin,Male,2020-03-02,1,nicholas32@example.net,+1-229-524-3828x92411,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,41,60,82,67,77,327,65.4
S00116,Stephanie Neal,Female,2006-06-14,2,robersonemily@example.com,001-576-447-3224x85320,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,76,77,85,53,68,359,71.8
S00117,Christina Allison,Female,2010-03-30,2,rachelbraun@example.org,447.243.0540,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,48,64,76,69,91,348,69.6
S00118,Raven Levine,Female,2016-09-25,8,kmullen@example.com,001-672-313-7622x54045,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,49,95,61,95,83,383,76.6
S00119,Anna Rocha,Female,2017-07-23,3,phicks@example.net,681-946-1882,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,47,54,43,65,95,304,60.8
S00120,Nicholas Gray,Male,2016-02-13,2,benjaminvalerie@example.net,(985)526-5611x2886,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,47,76,72,95,59,349,69.8
S00121,Robert Jones,Male,2012-10-13,4,jenniferrivera@example.net,(494)841-1565x09594,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,79,77,52,88,42,338,67.6
S00122,Grant Stewart,Male,2017-06-08,10,joshuawood@example.net,456-257-7525,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,53,81,53,61,88,336,67.2
S00123,Christian Olson,Male,2015-03-23,1,janice58@example.com,441.265.5796x8720,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,51,47,68,100,95,361,72.2
S00124,Mary Price,Female,2019-03-26,12,christina16@example.org,+1-745-942-3123x580,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,68,67,99,50,94,378,75.6
S00125,Devon Schmidt,Male,2009-01-26,6,anthonygould@example.net,(687)456-8790x55910,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,83,65,78,41,51,318,63.6
S00126,Lynn Bradshaw,Female,2006-11-04,4,ramosscott@example.org,001-940-235-9314x178,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,41,50,73,85,56,305,61.0
S00127,Vanessa Carrillo,Female,2014-05-01,3,scott98@example.com,661.387.6680x9368,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,95,50,48,68,83,344,68.8
S00128,Amy Jackson,Female,2020-04-07,7,anthonyhill@example.org,317-874-2865,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,90,72,73,89,63,387,77.4
S00129,Pam Brown,Female,2011-09-06,10,rossanne@example.com,8223724042,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,89,71,94,93,95,442,88.4
S00130,Nicole Stephens,Female,2015-06-02,8,dnguyen@example.com,(842)271-1487x19343,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,75,89,57,66,93,380,76.0
S00131,Brittany Herring,Female,2011-10-15,8,andersonisabella@example.net,882-515-8762x9209,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,53,46,45,71,46,261,52.2
S00132,Daniel Carter,Male,2015-02-26,12,knoxsteven@example.org,+1-434-614-5139x56145,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,58,82,73,48,64,325,65.0
S00133,Joann Lee,Female,2015-07-05,12,zberry@example.org,(404)927-0065,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,70,50,55,85,44,304,60.8
S00134,Bonnie Salinas,Female,2017-07-27,10,adrianjones@example.net,+1-441-434-3825x3082,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,77,42,84,59,42,304,60.8
S00135,Christy Silva,Female,2014-06-08,4,jonconley@example.net,(218)622-5017x0008,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,92,60,81,66,97,396,79.2
S00136,Jennifer Johnson,Female,2011-07-10,1,hannahkennedy@example.com,001-483-939-0793x90540,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,67,99,75,80,46,367,73.4
S00137,Meghan Vaughn,Female,2008-06-29,3,sgardner@example.com,406-655-9710,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,70,61,57,67,65,320,64.0
S00138,Kara Martinez,Female,2009-01-01,2,nicholsdaniel@example.com,(395)557-5702x41609,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,73,47,92,70,47,329,65.8
S00139,Mary Peterson,Female,2006-10-24,4,owilson@example.org,+1-246-682-4697x142,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,95,78,68,97,61,399,79.8
S00140,Mallory Burgess,Female,2007-05-15,7,umills@example.org,001-932-391-8986,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,95,75,60,97,42,369,73.8
S00141,Andrew Moreno,Male,2018-10-06,12,brianstephenson@example.com,533-852-7396x352,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,53,43,61,76,59,292,58.4
S00142,Roger Ruiz,Male,2016-12-08,6,salvarez@example.org,+1-772-542-8560x26100,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,97,91,52,48,45,333,66.6
S00143,Todd Santiago,Male,2011-03-17,2,rangelmargaret@example.net,566.976.9599,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,97,79,50,55,86,367,73.4
S00144,Felicia Benton,Female,2011-02-03,3,carlahughes@example.org,+1-926-538-1351x8922,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,58,81,51,49,60,299,59.8
S00145,Raymond Edwards,Male,2010-02-01,2,lorrainefoster@example.net,(529)460-7120x171,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,74,93,56,73,85,381,76.2
S00146,Debbie Phillips DVM,Female,2016-06-08,7,lhaney@example.com,777.562.6816x3367,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,97,50,90,99,54,390,78.0
S00147,Carlos Knapp,Male,2018-04-04,1,bakeredward@example.org,(323)791-7258,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,64,40,48,54,73,279,55.8
